#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abeldoun;Abeldoun;Abeldoun;Abeldoun;;Abeldoun;;;;;;;;;x
b_abeldoun_adj;Abeldounian;;abeldouner;;;;;;;;;;;x
b_abeldoun_2;Abeldoun;Abeldoun;Abeldoun;;Abeldoun;;;;;;;;;x
b_abeldoun_2_adj;Abeldounian;;abeldouner;;;;;;;;;;;x
b_abeldoun_3;Abeldoun;Abeldoun;Abeldoun;;Abeldoun;;;;;;;;;x
b_abeldoun_3_adj;Abeldounian;;abeldouner;;;;;;;;;;;x
b_ahdorin;Ahdorin;Ahdorin;Ahdorin;;Ahdorin;;;;;;;;;x
b_ahdorin_adj;Ahdorinian;;ahdoriner;;;;;;;;;;;x
b_ahdorin_2;Ahdorin;Ahdorin;Ahdorin;;Ahdorin;;;;;;;;;x
b_ahdorin_2_adj;Ahdorinian;;ahdoriner;;;;;;;;;;;x
b_ahdorin_3;Ahdorin;Ahdorin;Ahdorin;;Ahdorin;;;;;;;;;x
b_ahdorin_3_adj;Ahdorinian;;ahdoriner;;;;;;;;;;;x
b_ahdorin_4;Ahdorin;Ahdorin;Ahdorin;;Ahdorin;;;;;;;;;x
b_ahdorin_4_adj;Ahdorinian;;ahdoriner;;;;;;;;;;;x
b_alderdale;Alderdale;Alderdale;Alderdale;;Alderdale;;;;;;;;;x
b_alderdale_adj;Alderdalean;;alderdaler;;;;;;;;;;;x
b_alderdale_2;Alderdale;Alderdale;Alderdale;;Alderdale;;;;;;;;;x
b_alderdale_2_adj;Alderdalean;;alderdaler;;;;;;;;;;;x
b_beldale;Beldale;Beldale;Beldale;;Beldale;;;;;;;;;x
b_beldale_adj;Beldalean;;beldaler;;;;;;;;;;;x
b_beldale_2;Beldale;Beldale;Beldale;;Beldale;;;;;;;;;x
b_beldale_2_adj;Beldalean;;beldaler;;;;;;;;;;;x
b_castlestrong;Castlestrong;Castlestrong;Castlestrong;;Castlestrong;;;;;;;;;x
b_castlestrong_adj;Castlestrongian;;castlestronger;;;;;;;;;;;x
b_castlestrong_2;Castlestrong;Castlestrong;Castlestrong;;Castlestrong;;;;;;;;;x
b_castlestrong_2_adj;Castlestrongian;;castlestronger;;;;;;;;;;;x
b_castlestrong_3;Castlestrong;Castlestrong;Castlestrong;;Castlestrong;;;;;;;;;x
b_castlestrong_3_adj;Castlestrongian;;castlestronger;;;;;;;;;;;x
b_castlestrong_4;Castlestrong;Castlestrong;Castlestrong;;Castlestrong;;;;;;;;;x
b_castlestrong_4_adj;Castlestrongian;;castlestronger;;;;;;;;;;;x
b_darkpass;Darkpass;Darkpass;Darkpass;;Darkpass;;;;;;;;;x
b_darkpass_adj;Darkpassian;;darkpasser;;;;;;;;;;;x
b_darkpass_2;Darkpass;Darkpass;Darkpass;;Darkpass;;;;;;;;;x
b_darkpass_2_adj;Darkpassian;;darkpasser;;;;;;;;;;;x
b_darkpass_3;Darkpass;Darkpass;Darkpass;;Darkpass;;;;;;;;;x
b_darkpass_3_adj;Darkpassian;;darkpasser;;;;;;;;;;;x
b_dekkerton;Dekkerton;Dekkerton;Dekkerton;;Dekkerton;;;;;;;;;x
b_dekkerton_adj;Dekkertonian;;dekkertoner;;;;;;;;;;;x
b_dekkerton_2;Dekkerton;Dekkerton;Dekkerton;;Dekkerton;;;;;;;;;x
b_dekkerton_2_adj;Dekkertonian;;dekkertoner;;;;;;;;;;;x
b_dekkerton_3;Dekkerton;Dekkerton;Dekkerton;;Dekkerton;;;;;;;;;x
b_dekkerton_3_adj;Dekkertonian;;dekkertoner;;;;;;;;;;;x
b_dekkerton_4;Dekkerton;Dekkerton;Dekkerton;;Dekkerton;;;;;;;;;x
b_dekkerton_4_adj;Dekkertonian;;dekkertoner;;;;;;;;;;;x
b_dikker_plains;Dikker Plains;Dikker Plains;Dikker Plains;;Dikker Plains;;;;;;;;;x
