PROV1;Frakkert;Frakkert;Frakkert;;;;;;;;;x
PROV2;Gray Waters;Gray Waters;Gray Waters;;;;;;;;;x
PROV3;Lacrima Mouth;Lacrima Mouth;Lacrima Mouth;;;;;;;;;x
PROV4;Kreldet;Kreldet;Kreldet;;;;;;;;;x
PROV5;High Kreldet;High Kreldet;High Kreldet;;;;;;;;;x
PROV6;Greenwoods;Greenwoods;Greenwoods;;;;;;;;;x
PROV7;Castlestrong;Castlestrong;Castlestrong;;;;;;;;;x
PROV8;Low Lacrima;Low Lacrima;Low Lacrima;;;;;;;;;x
PROV9;Graymark;Graymark;Graymark;;;;;;;;;x
PROV10;Tripalix;Tripalix;Tripalix;;;;;;;;;x
PROV11;Jaxelia;Jaxelia;Jaxelia;;;;;;;;;x
PROV12;Blank Mountains;Blank Mountains;Blank Mountains;;;;;;;;;x
PROV13;Silver Peaks;Silver Peaks;Silver Peaks;;;;;;;;;x
PROV14;Nafengor;Nafengor;Nafengor;;;;;;;;;x
PROV15;Krakon;Krakon;Krakon;;;;;;;;;x
PROV16;Ironguardd;Ironguardd;Ironguardd;;;;;;;;;x
PROV17;Fanfon;Fanfon;Fanfon;;;;;;;;;x
PROV18;Minerlia;Minerlia;Minerlia;;;;;;;;;x
PROV19;Abeldoun;Abeldoun;Abeldoun;;;;;;;;;x
PROV20;Deep Cinzais;Deep Cinzais;Deep Cinzais;;;;;;;;;x
PROV21;Dyanthorn;Dyanthorn;Dyanthorn;;;;;;;;;x
PROV22;Geeldron;Geeldron;Geeldron;;;;;;;;;x
PROV23;Ahdorin;Ahdorin;Ahdorin;;;;;;;;;x
PROV24;Nanukinn;Nanukinn;Nanukinn;;;;;;;;;x
PROV25;Alderdale;Alderdale;Alderdale;;;;;;;;;x
PROV26;Beldale;Beldale;Beldale;;;;;;;;;x
PROV27;Herdonnig;Herdonnig;Herdonnig;;;;;;;;;x
PROV28;Frontiir;Frontiir;Frontiir;;;;;;;;;x
PROV29;Steel Pass;Steel Pass;Steel Pass;;;;;;;;;x
PROV30;Underpass;Underpass;Underpass;;;;;;;;;x
PROV31;Western Seacyde;Western Seacyde;Western Seacyde;;;;;;;;;x
PROV32;Ultown;Ultown;Ultown;;;;;;;;;x
PROV33;Darkpass;Darkpass;Darkpass;;;;;;;;;x
PROV34;Minehills;Minehills;Minehills;;;;;;;;;x
PROV35;Eastern Seacyde;Eastern Seacyde;Eastern Seacyde;;;;;;;;;x
PROV36;Garhold;Garhold;Garhold;;;;;;;;;x
PROV37;Mild Cinzal;Mild Cinzal;Mild Cinzal;;;;;;;;;x
PROV38;Dikker Plains;Dikker Plains;Dikker Plains;;;;;;;;;x
PROV39;Marsh Plains;Marsh Plains;Marsh Plains;;;;;;;;;x
PROV40;River Plains;River Plains;River Plains;;;;;;;;;x
PROV41;Dwarven Mountains;Dwarven Mountains;Dwarven Mountains;;;;;;;;;x
PROV42;Dekkerton;Dekkerton;Dekkerton;;;;;;;;;x
